"govtrack_id","last_name","first_name","gender"
408639,Perkins,John,M
406908,Long,Gillis,M
403382,Dennis,John,M
410520,Summers,George,M
401005,Ayres,William,M
403641,Duncan,John,M
409563,Sanford,John,M
400333,Rangel,Charles,M
409881,Shreve,Milton,M
406561,Landis,Gerald,M
406363,King,Henry,M
404978,Hamburg,Daniel,M
410092,Smith,Thomas,M
403767,Edwards,John,M
411948,Yatron,Gus,M
404952,Hall,Robert,M
409209,Richmond,Hiram,M
406128,Jones,John,M
401153,Barlow,Thomas,M
403940,Evans,Thomas,M
402658,Clingman,Thomas,M
412787,Tlaib,Rashida,F
411368,Watson,Albert,M
404947,Hall,Nathan,M
402237,Campbell,Ed,M
403971,Faison,John,M
401972,Buckland,Ralph,M
406102,Jonas,Edgar,M
407101,Major,James,M
408580,Peck,George,M
403622,Dudley,Edward,M
400783,Allen,James,M
409682,Scott,John,M
400311,Paul,Ronald,M
405281,Hazard,Nathaniel,M
400863,Anderson,William,M
411432,Welch,Philip,M
411459,Wentworth,John,M
408383,Otis,Norton,M
404312,Freeman,Richard,M
411744,Wilson,James,M
411496,Wheeler,Grattan,M
407117,Manahan,James,M
400655,Conaway,K.,M
403351,Degener,Edward,M
400126,Evans,Lane,M
404060,Fiedler,William,M
403135,Cutting,Bronson,M
408615,Penniman,Ebenezer,M
409990,Smart,Ephraim,M
404857,Gubser,Charles,M
400998,Avery,William,M
405795,Humphrey,Gordon,M
404098,Fishburne,John,M
456800,Moore,Barry,M
407492,McKee,Samuel,M
406727,Lehlbach,Herman,M
404727,Granger,Daniel,M
405670,Houston,Henry,M
410790,Thompson,Philip,M
409396,Root,Erastus,M
401604,Boren,David,M
404518,Gholson,Samuel,M
405998,Jennings,John,M
401344,Belmont,Oliver,M
410758,Thomas,John,M
300096,Talent,James,M
411176,Vreeland,Edward,M
409026,Randolph,James,M
412269,Cassidy,Bill,M
401212,Barton,Samuel,M
400398,Taylor,Charles,M
411945,Yates,Richard,M
408688,Pheiffer,William,M
411307,Ward,Hallett,M
410675,Taylor,Jonathan,M
412510,LaMalfa,Doug,M
410432,Storke,Thomas,M
401892,Brown,Milton,M
401339,Bell,Theodore,M
404273,Fowler,Joseph,M
400774,Allen,Clarence,M
456799,Carl,Jerry,M
402622,Clay,James,M
409312,Robinson,James,M
404189,Fogg,George,M
403681,Duvall,Gabriel,M
410784,Thompson,Joel,M
406278,Kennedy,Martin,M
402108,Bush,George,M
408530,Patterson,John,M
405474,Hill,Wilson,M
411364,Watkins,George,M
407363,McConnell,William,M
401762,Brenton,Samuel,M
406980,Lucas,Scott,M
408597,Pell,Claiborne,M
409666,Schweiker,Richard,M
409612,Saylor,John,M
409188,Richards,Jacob,M
402963,Crabb,George,M
409158,Rhea,John,M
400806,Allen,William,M
412277,Griffith,Parker,M
405044,Hanna,Louis,M
403026,Crocheron,Henry,M
407116,Maloney,Robert,M
411650,Williams,Christopher,M
407126,Mann,Horace,M
410140,Snyder,John,M
406374,King,Samuel,M
403635,Dunbar,James,M
406787,Lewis,Joseph,M
406836,Lipscomb,Glenard,M
409253,Rivera,Luis,M
408176,Nichols,John,M
412600,Clark,Katherine,F
405156,Hart,Alphonso,M
404474,Gavin,Leon,M
401174,Barrere,Granville,M
401049,Bailey,Joseph,M
412296,McMahon,Michael,M
410216,Sprague,William,M
406582,Langley,Katherine,F
400754,Alexander,John,M
405745,Hubley,Edward,M
403548,Dorsey,Frank,M
456802,Kim,Young,F
407528,McLane,Patrick,M
402262,Candler,Ezekiel,M
402182,Cain,Harry,M
402087,Bursum,Holm,M
406718,Leffler,Isaac,M
407590,McShane,John,M
401973,Buckler,Richard,M
408502,Partridge,George,M
402510,Chisholm,Shirley,F
407474,McIndoe,Walter,M
402106,Busey,Samuel,M
401104,Ball,Thomas,M
412726,Arrington,Jodey,M
411580,Whitman,Ezekiel,M
408207,Noell,Thomas,M
401944,Bryan,Nathan,M
409439,Rowell,Jonathan,M
401484,Black,Loring,M
407843,Montgomery,Samuel,M
407555,McMaster,William,M
409835,Shepperd,Augustine,M
403680,Duval,William,M
410842,Tift,Nelson,M
407913,Morgan,Christopher,M
410118,Smoot,Reed,M
410459,Strawbridge,James,M
411483,Whallon,Reuben,M
401423,Bicknell,Bennet,M
410666,Taylor,James,M
412767,Mucarsel-Powell,Debbie,F
405385,Hensley,Walter,M
402409,Cessna,John,M
406844,Little,John,M
410343,Stevens,Isaac,M
403270,Davis,Thomas,M
408553,Paxon,L.,M
409959,Skinner,Richard,M
411716,Willis,Francis,M
409617,Schadeberg,Henry,M
404569,Gillette,Guy,M
410380,Stewart,Thomas,M
411497,Wheeler,Hamilton,M
401103,Ball,Thomas,M
400907,Appleton,John,M
405436,Hiester,Joseph,M
404381,Gahn,Harry,M
407173,Marshall,Edward,M
406744,Lenroot,Irvine,M
412646,Zeldin,Lee,M
404339,Fry,Joseph,M
407855,Moody,William,M
403746,Edmiston,Andrew,M
412503,Massie,Thomas,M
409649,Schoonmaker,Marius,M
400544,Gekas,George,M
407325,McCarthy,John,M
409794,Sharp,Solomon,M
402555,Clardy,Kit,M
407898,Moores,Merrill,M
401646,Bowen,John,M
401420,Bibb,William,M
408685,Pfeifer,Joseph,M
408926,Pringey,Joseph,M
408416,Packard,Jasper,M
407526,McLanahan,James,M
408336,Oldfield,Pearl,F
408222,Norris,Benjamin,M
405634,Hopkinson,Joseph,M
404968,Halsell,John,M
403731,Eckley,Ephraim,M
402478,Chavez,Dennis,M
401890,Brown,Joseph,M
402739,Cole,Nathan,M
409874,Shortridge,Samuel,M
402367,Case,Francis,M
404855,Grundy,Joseph,M
408888,Pratt,Joseph,M
401627,Bouligny,John,M
401524,Blanton,Thomas,M
401366,Bennett,Granville,M
404805,Griffin,Daniel,M
407554,McManus,William,M
456850,Van Duyne,Beth,F
401323,Bell,Charles,M
400913,Archer,Stevenson,M
402547,Claiborne,William,M
412052,Hines,Richard,M
404457,Garrow,Nathaniel,M
408193,Niles,Nathaniel,M
400143,Frost,Jonas,M
412665,Sullivan,Dan,M
412022,Cage,Harry,M
411667,Williams,Jared,M
407564,McMillen,Charles,M
410903,Townsend,Edward,M
409134,Reilly,Wilson,M
411622,Wiley,Alexander,M
401624,Bouldin,James,M
411255,Wallace,David,M
412837,Miller,Carol,F
401137,Barclay,David,M
410611,Talbott,Joshua,M
400346,Rothman,Steven,M
411507,Whipple,Thomas,M
410541,Swan,Samuel,M
408781,Ploeser,Walter,M
401440,Bigelow,Lewis,M
411748,Wilson,James,M
410732,Thayer,Martin,M
401626,Bouligny,Charles,M
410602,Taggart,Samuel,M
403685,Dwight,Theodore,M
408292,O’Konski,Alvin,M
410928,Treadway,Allen,M
406269,Kennedy,Ambrose,M
403039,Crooke,Philip,M
409948,Sisson,Thomas,M
401149,Barksdale,William,M
410325,Stephenson,Isaac,M
410259,Stanford,Leland,M
412508,Cotton,Tom,M
411009,Tweedy,John,M
401547,Blute,Peter,M
408024,Mruk,Joseph,M
405490,Hinebaugh,William,M
403515,Dole,Robert,M
409637,Schleicher,Gustave,M
403740,Edgerton,Alfred,M
400356,Sanchez,Loretta,F
401685,Boykin,Frank,M
401820,Brogden,Curtis,M
406766,Levitas,Elliott,M
406010,Joelson,Charles,M
408924,Prince,William,M
404396,Gallagher,William,M
403457,Dieterich,William,M
408014,Moulton,Samuel,M
412225,Shuler,Heath,M
410351,Stevenson,Adlai,M
405343,Henderson,James,M
408724,Pickett,Thomas,M
409444,Roy,Alphonse,M
410654,Taylor,Chester,M
405808,Humphreys,William,M
401956,Buchanan,James,M
407810,Moeller,Walter,M
409558,Sandidge,John,M
409759,Sewall,Charles,M
407624,Mellish,David,M
403303,De Graff,John,M
400816,Allott,Gordon,M
406314,Kersten,Charles,M
407150,Marcy,Daniel,M
300058,Johnson,Tim,M
407357,McCoid,Moses,M
412330,Bennet,Michael,M
401124,Barber,Laird,M
408648,Perry,Thomas,M
401765,Brevard,Joseph,M
400006,Alexander,Rodney,M
401759,Brent,Richard,M
400087,Crowley,Joseph,M
401853,Broussard,Robert,M
411755,Wilson,John,M
402605,Clarke,Marian,F
400769,Allen,Amos,M
402568,Clark,Frank,M
403762,Edwards,Francis,M
405667,Houseman,Julius,M
402117,Butler,Chester,M
401106,Ballentine,John,M
410044,Smith,Jedediah,M
401632,Bourne,Jonathan,M
412677,Evans,Dwight,M
407183,Marshall,Thomas,M
402511,Chittenden,Martin,M
402404,Cavanaugh,James,M
406804,Lilly,Samuel,M
400986,Auchincloss,James,M
403990,Farr,Evarts,M
404304,Frederick,Benjamin,M
408897,Prescott,Cyrus,M
400959,Ashley,Thomas,M
400085,Crane,Philip,M
409956,Skiles,William,M
409383,Romjue,Milton,M
404007,Faust,Charles,M
411022,Tyson,Job,M
405574,Hollenbeck,Harold,M
402968,Cragin,Aaron,M
400223,Kleczka,Gerald,M
401512,Blanchard,George,M
402913,Cosgrove,John,M
411016,Tyler,David,M
410638,Tatom,Absalom,M
405161,Hart,Gary,M
409252,Ritter,John,M
400341,Rogers,Mike,M
410751,Thomas,James,M
409315,Robinson,John,M
411308,Ward,Hamilton,M
400865,Anderson,William,M
408400,Owen,Emmett,M
404544,Gilbert,Sylvester,M
400832,Ammerman,Joseph,M
406517,La Guardia,Fiorello,M
406943,Louttit,James,M
400101,DeGette,Diana,F
400861,Anderson,Thomas,M
404126,Fitzgibbons,John,M
406685,Leavitt,Humphrey,M
403148,Dague,Paul,M
404529,Gibson,James,M
409272,Robbins,George,M
400543,Coyne,William,M
404902,Haggott,Warren,M
410361,Stewart,Andrew,M
408113,Needham,James,M
410181,Speer,Emory,M
403810,Elliott,Alfred,M
406062,Johnson,Noble,M
410328,Sterett,Samuel,M
400689,Adams,Alva,M
411897,Worthington,John,M
411946,Yates,Richard,M
409646,Schoeppel,Andrew,M
403463,Dill,Clarence,M
406588,Laning,Jay,M
406113,Jones,Frank,M
401668,Bowman,Thomas,M
405037,Handley,William,M
403695,Dymally,Mervyn,M
409267,Roark,Charles,M
300050,Hagel,Charles,M
406450,Knowlton,Ebenezer,M
402708,Codd,George,M
404300,Frazier,James,M
404150,Fleger,Anthony,M
407535,McLaurin,John,M
403612,Drukker,Dow,M
400664,Aandahl,Fred,M
412807,Gonzalez,Anthony,M
401378,Benson,Carville,M
400510,Miller,Dan,M
406489,Kuchel,Thomas,M
403976,Faran,James,M
403801,Elkins,Stephen,M
404568,Gillette,Francis,M
405915,Jackson,Donald,M
410433,Storm,Frederic,M
403666,Durand,George,M
405078,Hardy,Porter,M
406753,Lesher,John,M
401727,Brandegee,Augustus,M
404661,Goodwin,Philip,M
408918,Price,William,M
409631,Schermerhorn,Simon,M
405918,Jackson,Fred,M
406694,Lee,Frank,M
404034,Fenton,Lucien,M
412278,Guthrie,Brett,M
404140,Flanagan,De,M
409521,Ryter,Joseph,M
401370,Bennett,Joseph,M
400590,Kasich,John,M
409461,Ruggles,John,M
411340,Warren,Lott,M
412709,Bergman,Jack,M
403049,Crow,Charles,M
412471,Scott,Tim,M
411271,Wallop,Malcolm,M
406390,Kinzer,John,M
404728,Granger,Francis,M
405437,Hiester,William,M
404669,Gordon,James,M
406557,Landes,Silas,M
401996,Bull,John,M
403947,Everett,Robert,M
403083,Cullom,Alvan,M
408280,O’Conor,Herbert,M
402340,Carss,William,M
409581,Satterfield,Dave,M
409922,Simpkins,John,M
406658,Lazaro,Ladislas,M
408405,Owen,Ruth,F
410136,Snowbarger,Vincent,M
400904,Appleby,Stewart,M
402448,Chapin,Graham,M
405325,Heller,Louis,M
411004,Tuten,James,M
401161,Barnes,Lyman,M
400178,Hinchey,Maurice,M
409112,Rees,Rollin,M
403398,Denton,Winfield,M
402162,Byron,William,M
401042,Bailey,Donald,M
404110,Fisk,Jonathan,M
404054,Fessenden,Samuel,M
411233,Walker,Gilbert,M
406121,Jones,James,M
405516,Hobart,John,M
408296,O’Mahoney,Joseph,M
410033,Smith,Hoke,M
403172,Daniel,Charles,M
403306,De Haven,John,M
400097,Davis,Susan,F
405180,Harvey,James,M
403890,Erk,Edmund,M
412217,Smith,Adrian,M
403883,Epes,Sydney,M
411926,Wyatt,Joseph,M
406124,Jones,James,M
400327,Pryce,Deborah,F
404796,Greigg,Stanley,M
411078,Van Duzer,Clarence,M
405052,Hansen,Clifford,M
402366,Case,Clifford,M
405186,Hasbrouck,Abraham,M
409329,Robsion,John,M
410776,Thompson,Chester,M
401572,Bolles,Stephen,M
409627,Schenk,Lynn,F
400384,Solis,Hilda,F
411542,White,John,M
412627,Blum,Rod,M
408534,Patterson,Malcolm,M
410249,Stalker,Gale,M
404878,Gustine,Amos,M
408248,Nuckolls,William,M
404619,Gold,Thomas,M
410893,Towell,David,M
400132,Ferguson,Michael,M
403446,Dickinson,William,M
412100,Smith,George,M
409751,Sessinghaus,Gustavus,M
407880,Moore,Littleton,M
407825,Mondell,Franklin,M
402174,Cadwalader,Lambert,M
401746,Breckinridge,John,M
409087,Redmond,William,M
402503,Chiperfield,Burnett,M
406774,Lewis,Clarke,M
405450,Hill,Charles,M
410028,Smith,Henry,M
406488,Kruse,Edward,M
403606,Drinan,Robert,M
405312,Heflin,Robert,M
407104,Malbone,Francis,M
401383,Bentley,Helen,F
409128,Reid,Robert,M
404368,Funk,Benjamin,M
400255,Matheson,Jim,M
407385,McCreary,James,M
401769,Brewer,Willis,M
411731,Wilson,Ephraim,M
403629,Duffy,James,M
407539,McLean,George,M
411631,Wilkins,Beriah,M
403841,Ellsworth,William,M
405836,Huntington,Ebenezer,M
412420,Dold,Bob,M
410365,Stewart,Charles,M
406184,Karst,Raymond,M
401471,Bishop,William,M
402350,Carter,William,M
403660,Dunn,Thomas,M
411610,Wilber,David,M
411952,Yoakum,Charles,M
411348,Washburn,William,M
400388,Stearns,Clifford,M
400304,Ose,Doug,M
406505,Kyle,James,M
402118,Butler,Ezra,M
405776,Hughston,Jonas,M
403857,Ely,John,M
400413,Udall,Tom,M
406092,Johnston,Rowland,M
407246,Mason,William,M
400860,Anderson,Sydney,M
404725,Granger,Amos,M
409251,Ritter,Donald,M
401914,Brownlow,Walter,M
402502,Chinn,Thomas,M
403805,Ellery,Christopher,M
404895,Hagan,George,M
401993,Bugg,Robert,M
409592,Savage,Charles,M
410064,Smith,Larkin,M
408111,Nedzi,Lucien,M
406687,Leavy,Charles,M
411046,Upham,Jabez,M
406463,Konnyu,Ernest,M
411047,Upham,Nathaniel,M
401975,Buckley,Charles,M
412405,Tipton,Scott,M
408853,Potter,Orlando,M
409699,Scrivner,Errett,M
408556,Payne,Lewis,M
410606,Talbert,William,M
410623,Tallon,Robert,M
411656,Williams,George,M
401477,Black,George,M
412232,Sestak,Joe,M
403127,Cushman,Joshua,M
403418,Dewey,Daniel,M
409912,Simmons,James,M
402911,Corwin,Thomas,M
405589,Holmes,Isaac,M
403532,Donohue,Harold,M
402323,Carr,James,M
406781,Lewis,Fred,M
408896,Prentiss,Seargent,M
400839,Anderson,Charles,M
412724,Kustoff,David,M
402863,Coombs,William,M
406418,Kleczka,John,M
403852,Elston,John,M
402718,Coffin,Frank,M
409888,Shuster,Bill,M
402668,Clowney,William,M
406444,Knight,Nehemiah,M
401034,Bafalis,Louis,M
407410,McDonald,Jack,M
411479,Whalen,Charles,M
412474,Mulvaney,Mick,M
407813,Moffett,Anthony,M
411275,Walsh,Arthur,M
411795,Winstead,William,M
408544,Patton,John,M
402834,Contee,Benjamin,M
456853,Good,Robert,M
400107,Diaz-Balart,Lincoln,M
400639,Cleaver,Emanuel,M
409201,Richardson,John,M
407826,Monell,Robert,M
403707,Earll,Jonas,M
406061,Johnson,Noadiah,M
410275,Stark,Benjamin,M
400641,Higgins,Brian,M
406192,Kaufman,David,M
410968,Tucker,Henry,M
403712,Earthman,Harold,M
408018,Mouton,Robert,M
407146,Marcantonio,Vito,M
404566,Gillett,James,M
408021,Moynihan,Patrick,M
400917,Arentz,Samuel,M
401086,Baldwin,Abraham,M
409304,Robinson,Christopher,M
400065,Cardoza,Dennis,M
408538,Patterson,William,M
411473,Westerlo,Rensselaer,M
412194,Murphy,Christopher,M
408353,Olney,Richard,M
407900,Moorhead,James,M
410117,Smithwick,John,M
409804,Shaw,Guy,M
403265,Davis,Robert,M
401815,Brodhead,John,M
405788,Hull,Merlin,M
407734,Miller,Thomas,M
403314,de Lugo,Ron,M
408147,New,Harry,M
400821,Alston,William,M
409243,Risk,Charles,M
411119,Vander Jagt,Guy,M
404005,Faulkner,Charles,M
403246,Davis,James,M
404903,Hahn,John,M
406424,Kline,Ardolph,M
408230,Norton,Elijah,M
409741,Selye,Lewis,M
411849,Wood,John,M
408670,Pettigrew,Ebenezer,M
412273,Dahlkemper,Kathleen,F
412831,Riggleman,Denver,M
402607,Clarke,Richard,M
411732,Wilson,Ephraim,M
409324,Robinson,Thomas,M
404268,Fountain,Lawrence,M
411773,Wilson,William,M
410855,Tincher,Jasper,M
411486,Wharton,Jesse,M
400153,Goode,Virgil,M
412201,Sali,Bill,M
405408,Hersman,Hugh,M
409132,Reilly,Michael,M
404232,Forrest,Uriah,M
409823,Shelley,Charles,M
401950,Buchanan,Andrew,M
410441,Stout,Tom,M
405305,Hecht,Jacob,M
410840,Tierney,William,M
407700,Miller,Clarence,M
412019,Breckinridge,James,M
403770,Edwards,Ninian,M
408310,O’Sullivan,Eugene,M
406595,Lansing,Gerrit,M
405723,Hubbard,Asahel,M
412793,Guest,Michael,M
410743,Thomas,Christopher,M
410722,Thacher,Thomas,M
410214,Sprague,William,M
407130,Mann,Job,M
405966,Jarrett,William,M
404816,Griffiths,Martha,F
406988,Ludlow,Louis,M
409550,Sanders,Archie,M
400179,Hinojosa,Rubén,M
402296,Carleton,Ezra,M
406826,Link,Arthur,M
408450,Palmer,Henry,M
402533,Cilley,Bradbury,M
411404,Weber,John,M
408870,Powell,Walter,M
407961,Morrison,Cameron,M
410741,Thomas,Charles,M
402584,Clark,Linwood,M
411802,Wise,George,M
405411,Heselton,John,M
403236,Davis,George,M
404591,Glascock,John,M
412718,Espaillat,Adriano,M
412431,Pompeo,Mike,M
400914,Archer,William,M
403288,Dawson,William,M
400525,Baldacci,John,M
402189,Caldwell,Andrew,M
405469,Hill,William,M
401525,Blatnik,John,M
407141,Manton,Thomas,M
400988,Auf Der Heide,Oscar,M
403977,Farbstein,Leonard,M
409422,Rostenkowski,Daniel,M
407931,Morphis,Joseph,M
409367,Rogers,John,M
411621,Wildrick,Isaac,M
402874,Cooper,James,M
405460,Hill,Joseph,M
407760,Millward,William,M
410001,Smith,Benjamin,M
403702,Earhart,Daniel,M
404822,Grinnell,Joseph,M
404810,Griffin,Robert,M
408651,Persons,Henry,M
300048,Grassley,Charles,M
402392,Cate,George,M
412236,Cohen,Steve,M
406235,Kellogg,Frank,M
409064,Raymond,Henry,M
404024,Fellows,Frank,M
400428,Weldon,W.,M
410700,Teller,Ludwig,M
409248,Ritchie,James,M
412222,Hall,John,M
412515,Valadao,David,M
405389,Herbert,Philemon,M
403381,Dennis,John,M
404311,Freeman,Nathaniel,M
401231,Bates,Jim,M
400667,Abbott,Jo,M
404505,German,Obadiah,M
402165,Cabell,Edward,M
409690,Scott,Ralph,M
404252,Foster,George,M
404823,Grinnell,Josiah,M
406704,Lee,Richard,M
405991,Jenkins,Timothy,M
409743,Semple,James,M
408000,Moss,Frank,M
410570,Swift,Oscar,M
402284,Capps,Walter,M
409004,Ramey,Homer,M
405891,Irvin,James,M
403092,Cummings,Amos,M
406052,Johnson,John,M
409539,Saltonstall,Leverett,M
408047,Murdock,Orrice,M
402562,Clark,Charles,M
405090,Harlan,James,M
411490,Wheaton,Horace,M
407993,Moser,Guy,M
402538,Clagett,Clifton,M
402344,Carter,Luther,M
404485,Geary,Thomas,M
400432,Wicker,Roger,M
404558,Gillen,Courtland,M
406602,Laporte,John,M
400129,Farr,Sam,M
409196,Richardson,George,M
404287,Frank,Augustus,M
406206,Keating,Kenneth,M
411390,Weatherford,Zadoc,M
403128,Cushman,Samuel,M
402156,Byrns,Joseph,M
407269,Matteson,Orsamus,M
400792,Allen,Joseph,M
405102,Harper,Joseph,M
403186,Darby,Ezra,M
404491,Geissenhainer,Jacob,M
410983,Turner,Benjamin,M
404620,Golden,James,M
412312,Sablan,Gregorio,M
405615,Hooper,Samuel,M
405971,Jayne,William,M
402983,Cramer,William,M
404972,Halsey,Silas,M
406348,Kincaid,John,M
401155,Barnard,Druie,M
407454,McGrath,Christopher,M
412578,Williams,Roger,M
400688,Adair,John,M
411669,Williams,Jeremiah,M
412408,Southerland,Steve,M
409182,Rich,Carl,M
406628,Lausche,Frank,M
412018,Boden,Andrew,M
401296,Bee,Carlos,M
401448,Billmeyer,Alexander,M
406589,Lankford,Menalcus,M
409513,Ryan,James,M
410521,Summers,John,M
407423,McDowell,Joseph,M
400208,Jones,Stephanie,F
410547,Swanson,Claude,M
412087,Pitman,Charles,M
403537,Dooley,Edwin,M
405192,Haskell,Reuben,M
412814,Cunningham,Joe,M
407918,Morgan,George,M
409834,Sheppard,Morris,M
407404,McDermott,Allan,M
411996,Zelenko,Herbert,M
409810,Sheafe,James,M
412173,Pindall,James,M
410305,Steelman,Alan,M
411591,Whittlesey,Frederick,M
403738,Edgar,Robert,M
401277,Beatty,John,M
405758,Huffington,Michael,M
404217,Ford,Nicholas,M
406026,Johnson,Edwin,M
408032,Muhlenberg,John,M
412823,Wright,Ron,M
406077,Johnson,William,M
402378,Cass,Lewis,M
400150,Gillmor,Paul,M
407832,Monroney,Almer,M
402544,Claiborne,Nathaniel,M
405779,Hulbert,George,M
409460,Ruggles,Charles,M
403366,Deming,Henry,M
405799,Humphrey,James,M
410523,Sumner,Charles,M
400236,Leach,James,M
400385,Souder,Mark,M
410932,Treen,David,M
409843,Sherman,Judson,M
403377,Denney,Robert,M
400188,Houghton,Amory,M
402110,Bushfield,Harlan,M
403514,Doig,Andrew,M
406963,Lowe,William,M
402724,Cogswell,William,M
401941,Bryan,Joseph,M
409374,Rogers,William,M
408246,Noyes,Joseph,M
408714,Phillips,William,M
400791,Allen,John,M
406311,Kerr,Winfield,M
411888,Woodyard,Harry,M
405644,Horsey,Outerbridge,M
403899,Esch,John,M
400912,Archer,Stevenson,M
406477,Kraus,Milton,M
405342,Henderson,David,M
401606,Borland,Charles,M
402826,Conover,Simon,M
401105,Ball,William,M
404787,Greever,Paul,M
410539,Sutphin,William,M
405203,Hastings,William,M
409567,Sanford,Nathan,M
406631,Law,Lyman,M
412028,Chase,Samuel,M
402894,Cordon,Guy,M
409674,Scott,Charles,M
411676,Williams,John,M
400786,Allen,John,M
401130,Barbour,John,M
401461,Birdsall,Ausburn,M
405874,Ingalls,John,M
401392,Bergen,Christopher,M
401675,Boyd,Adam,M
410861,Titus,Obadiah,M
410720,Test,John,M
403615,Du Bose,Dudley,M
407203,Martin,James,M
407244,Mason,Stevens,M
403896,Ervin,James,M
410658,Taylor,Ezra,M
408364,Orton,William,M
403888,Erdreich,Ben,M
410159,Southard,Milton,M
401527,Bleakley,Orrin,M
404309,Freeman,James,M
406892,Logan,George,M
404320,French,Burton,M
410203,Spight,Thomas,M
400814,Allison,Robert,M
406642,Lawrence,Joseph,M
408493,Parrish,Lucian,M
401768,Brewer,Mark,M
,Wallace,Henry,
403618,du Pont,Thomas,M
409036,Rankin,John,M
409141,Resnick,Joseph,M
402792,Comstock,Solomon,M
407941,Morris,Calvary,M
411940,Yarborough,Ralph,M
410737,Thom,William,M
402867,Cooper,Charles,M
406683,Leatherwood,Elmer,M
400524,Morella,Constance,F
410639,Tattnall,Edward,M
401579,Bond,Shadrack,M
400281,Mollohan,Alan,M
405458,Hill,John,M
408048,Murdock,Victor,M
411349,Washburne,Elihu,M
403760,Edwards,Edwin,M
401465,Birdseye,Victory,M
409586,Saulsbury,Willard,M
403456,Dies,Martin,M
408739,Pierson,Jeremiah,M
456794,Kelly,Mark,M
300065,Leahy,Patrick,M
404561,Gillespie,James,M
409212,Ricketts,Edwin,M
405057,Hanson,Alexander,M
412693,Lawson,Al,M
412134,Blackwell,Julius,M
410121,Smyth,George,M
408745,Pike,Otis,M
400674,Abele,Homer,M
402268,Cannon,Clarence,M
402746,Cole,William,M
404749,Gray,Joseph,M
405119,Harris,Herbert,M
405984,Jenkins,Albert,M
408131,Nelson,Roger,M
411660,Williams,Henry,M
410772,Thompson,Benjamin,M
407946,Morris,James,M
401649,Bower,Gustavus,M
401599,Borah,William,M
409728,Seeley,John,M
411582,Whitmore,Elias,M
402003,Bulwinkle,Alfred,M
412810,Houlahan,Chrissy,F
410226,Sproul,William,M
411096,Van Rensselaer,Killian,M
410499,Stump,Herman,M
406981,Lucas,William,M
406300,Kerr,Daniel,M
456822,Spartz,Victoria,F
403114,Curtis,Carlton,M
404801,Griest,William,M
410888,Torrens,James,M
402754,Coles,Walter,M
410725,Thatcher,Samuel,M
406372,King,Rufus,M
406239,Kellogg,William,M
412446,Heck,Joseph,M
404735,Grant,Robert,M
405580,Holloway,Clyde,M
456810,Salazar,Maria,M
412514,Swalwell,Eric,M
401955,Buchanan,James,M
410522,Sumner,Charles,M
402170,Cable,Joseph,M
403777,Edwards,William,M
401456,Binney,Horace,M
412604,Clawson,Curtis,M
405967,Jarvis,Leonard,M
412460,Johnson,Bill,M
411261,Wallace,Robert,M
404324,French,Richard,M
405656,Hotchkiss,Giles,M
402860,Coolidge,Frederick,M
411481,Whaley,Richard,M
400389,Stenholm,Charles,M
402612,Classon,David,M
407724,Miller,Louis,M
400735,Albosta,Donald,M
409046,Rariden,James,M
409153,Reynolds,Joseph,M
410294,Steele,George,M
400026,Berry,Robert,M
300154,Helms,Jesse,M
406126,Jones,James,M
404208,Foran,Martin,M
404688,Gorman,Willis,M
403219,Davidson,Alexander,M
409391,Roosevelt,James,M
406146,Jones,Thomas,M
400522,Cooksey,John,M
408263,O’Brien,James,M
407109,Mallory,Robert,M
401396,Bergland,Robert,M
403898,Ervin,Samuel,M
402558,Clark,Alvah,M
412384,Brown,Scott,M
403871,Englebright,Harry,M
402720,Coffin,Peleg,M
408091,Myers,Henry,M
401706,Bradley,Thomas,M
403319,De Priest,Oscar,M
407788,Mitchell,Henry,M
409849,Sherwin,John,M
407536,McLean,Alney,M
412518,Negrete McLeod,Gloria,F
401720,Brainerd,Samuel,M
402316,Carpenter,Edmund,M
408702,Phelps,William,M
407935,Morrill,Anson,M
406383,Kinnard,George,M
410116,Smithers,Nathaniel,M
403251,Davis,John,M
406011,Johansen,August,M
401661,Bowles,Chester,M
411169,Voorhees,Charles,M
405260,Hayes,Philip,M
403150,Daily,Samuel,M
402444,Chanler,John,M
403837,Ellsworth,Mathew,M
405488,Hinds,James,M
409918,Simonds,William,M
412107,Stewart,John,M
400134,Flake,Jeff,M
406078,Johnson,William,M
405662,Houghton,Sherman,M
406482,Kreidler,Myron,M
408380,Otis,Harrison,M
405371,Henry,John,M
411356,Wasielewski,Thaddeus,M
401585,Bonker,Don,M
404929,Hall,Benton,M
402534,Cilley,Jonathan,M
401846,Broomall,John,M
402104,Busby,George,M
406851,Littleton,Martin,M
405232,Hawes,Richard,M
404035,Fenton,Reuben,M
401664,Bowling,William,M
410166,Spalding,Burleigh,M
411619,Wilder,William,M
407594,McSween,Harold,M
402172,Cadmus,Cornelius,M
405196,Hastings,Daniel,M
405135,Harris,William,M
401859,Brown,Arthur,M
411815,Witherspoon,Samuel,M
404840,Gross,Harold,M
408211,Nolan,Richard,M
409055,Rawson,Charles,M
409872,Short,Don,M
456813,Clyde,Andrew,M
406120,Jones,Isaac,M
404875,Gurley,John,M
408419,Packer,John,M
400353,Ryun,Jim,M
